,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
0,2005 hyundai elantra,1200,2005.0,https://charlottesville.craigslist.org/cto/d/afton-2005-hyundai-elantra/7785683810.html,missing,20.0,7.090076835776092,2.995732273553991,title,2005,fair, 4 cylinders,fwd,gas,232450,silver,manual,sedan,‘05 Elantra runs good but did not pass inspection due to front breaks and wiper blades. Rear driver side door does not open and is majorly dented - see picture. I have receipts for recent work. it’s a fun car to drive just not much of a looker! Price negotiable but higher if I do repairs. Call or text    
1,2007 f250 king ranch,17500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2007-f250-king-ranch/7785680751.html,missing,18.0,9.769956159911606,2.8903717578961645,title,2007,good, 8 cylinders,4wd,diesel,148086,missing,automatic,pickup,"6.0 diesel, bulletproofed, just replaced transmission, 6” lift on 37x12.50, it’s tuned with a basic street tune, got a new stereo with a 12” sub in the back seat and a 1000 watt amp. I also have paperwork for the work that’s been done"
2,1997 dodge 2500 4x4 cummins,9500,1997.0,https://charlottesville.craigslist.org/cto/d/lovingston-1997-dodge-x4-cummins/7785609263.html,dodge,28.0,9.159047077588632,3.332204510175204,title,1997,fair, 6 cylinders,4wd,diesel,179000,red,automatic,truck,"1997 Dodge 4x4 Cummins. Adult owned and driven. OEM Transmission Replaced 8 thousand miles ago, with extra cooler. Cab and chassis mounts replaced and Killer Dead Pin Kit installed. All power options work and truck is in decent shape for being 27 years old. Fires up quick and runs well. If you are looking for a show truck or a mint model this isn’t for you, however if you want a low miles 12V Cummins with several of the major issues fixed this might be exactly what you are looking for. Text is preferred, thanks for looking."
3,1999 honda civic 4 cyl manual transmission,1000,1999.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1999-honda-civic-cyl/7785580889.html,honda,26.0,6.907755278982137,3.258096538021482,title,1999,salvage, 4 cylinders,rwd,gas,195338,silver,manual,sedan,"Vehicle does start and run, it has a manual transmission and the 4cyl engine. with 195338 miles on it. Need two new front tires, new hood, suspension needs to be replaced, power steering pump starting to go with a white present. Needs an oil change."
4,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6250,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7785561584.html,gmc,27.0,8.740336742730447,3.295836866004329,title,1998,good, 8 cylinders,rwd,gas,102483,missing,automatic,truck,"1998 GMC Sierra 1500 SL Truck, Auto 2WD/RWD, Va State inspection good through 4/25, beige, automatic, 103,000 miles, strong V8, 6.5 foot bed, cloth interior in great shape, rear bench seat, dash cover, good tires, bed liner, 2"" box tow hitch, nice locking ARE color matching clamshell bed cover, large straight exhaust pipes, chrome bumpers in good shape"
5,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7785499961.html,honda,19.0,8.45531778769815,2.9444389791664403,title,2006,excellent, 6 cylinders,fwd,gas,251000,missing,automatic,SUV,"Still available. Must call! 8O4-22O-OO22251K miles. FWD. Runs great. No issue.The timing belt was changed at 225K. It has leather seats, heated seats, and power.Moonroof, Tires are in great condition. 3rd row seat, 8 passenger SUV.5FNYF28526B034237"
6,2001 jeep grand cherokee,2800,2001.0,https://charlottesville.craigslist.org/cto/d/gordonsville-2001-jeep-grand-cherokee/7785490667.html,jeep,24.0,7.937374696163295,3.1780538303479458,title,2001,excellent,missing,missing,gas,156500,missing,automatic,SUV,"2001 Jeep Grand Cherokee. 4.0 6 cylinder automatic. 156,500 miles.Rebuilt motor, new pistons, piston rings, rod bearings, timing gears, oil pump, head gasket, valve cover gasket, fuel pump, new headlights ,new brakes and brake calipers .4 new tires.Just passed state inspection. AC doesn't work but everything else is 100%.Cash, cards, Venmo accepted.  $2800 firm.  Please Don't bother with low ball ofters.Gordonsville, VA"
7,2015 gmc terrain - good condition,3500,2015.0,https://charlottesville.craigslist.org/cto/d/keswick-2015-gmc-terrain-good-condition/7785267240.html,gmc,10.0,8.160518247477505,2.302585092994046,title,2015,good, 4 cylinders,fwd,gas,113520,white,automatic,SUV,"2015 GMC Terrain SLE 4cy. 113,500 miles.  $3500.00 OBO.  This vehicle is in great condition.  Needs engine work.  Is drivable but runs rough.  We are the second owners.  Never been in an accident.  Sold as is.  Please call or text for more information."
8,buick,4500,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7785078444.html,buick,,8.411832675758411,,title,2011,good, 4 cylinders,fwd,gas,164000,brown,automatic,SUV,"2011 model Buick with 160,000 miles runs good call or text  show contact info"
9,2014 ford escape,1500,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-ford-escape/7785060212.html,ford,11.0,7.313220387090301,2.3978952727983707,title,2014,salvage, 4 cylinders,fwd,gas,163000,grey,automatic,SUV,"2014 Ford Escape SE, 1.6L. Needs a new transmission (internal pump not working, per diagnosis). 163,000 miles. 1,500 obo"
